source,target,probability_mean,probability_std,numeric_score_target,known_positive,source_type,target_type,score_final,symbolic_confidence,sym_base_score,path_length,sym_category,neurosymbolic_score
_:b153,bonusPoints,0.08902034360151036,0.16317204310554084,0.0,False,ClassAtom,BonusPoints,0.07121627488120828,0.17689130203804734,0.25,4,indirect,0.14613646658525942
_:b202,bonusPoints,0.08829889074907536,0.16362089848438968,0.0,False,ClassAtom,BonusPoints,0.0706391125992603,0.17689130203804734,0.25,4,indirect,0.14588395808690716
_:b120,bonusPoints,0.08829888478861089,0.16362088516938628,0.0,False,ClassAtom,BonusPoints,0.07063910783088871,0.17689130203804734,0.25,4,indirect,0.14588395600074458
_:b111,bonusPoints,0.08829888478861089,0.16362088516938628,0.0,False,ClassAtom,BonusPoints,0.07063910783088871,0.17689130203804734,0.25,4,indirect,0.14588395600074458
Image,Tiny_stash,0.22748744653485203,0.17307386502999242,0.0415518252487452,False,unknown,Reward,0.1903003222776307,0.10189130203804733,0.14285714285714285,7,indirect,0.14584995261192896
_:b122,bonusPoints,0.08771412053785947,0.16410136104928527,0.0,False,IndividualPropertyAtom,BonusPoints,0.07017129643028758,0.17689130203804734,0.25,4,indirect,0.1456792885129816
_:b113,bonusPoints,0.08771412053785947,0.16410136104928527,0.0,False,IndividualPropertyAtom,BonusPoints,0.07017129643028758,0.17689130203804734,0.25,4,indirect,0.1456792885129816
number,Stash,0.28230976402764435,0.12722449468508887,0.9172442572270822,False,AnnotationProperty,Reward,0.40929666266753195,0.07189130203804733,0.1,10,indirect,0.14553776373440627
TaskJavaInheritance,Motrain,0.08714451508023216,0.15087904559416573,0.0,False,IndexKey,GameElementResource,0.06971561206418574,0.17689130203804734,0.25,4,indirect,0.14547992660281203
_:b263,bonusPoints,0.08702347733833043,0.16440818455971284,0.0,False,IndividualPropertyAtom,BonusPoints,0.06961878187066435,0.17689130203804734,0.25,4,indirect,0.14543756339314642
_:b143,bonusPoints,0.0865724500810893,0.16459330025318172,0.0,False,AtomList,BonusPoints,0.06925796006487143,0.17689130203804734,0.25,4,indirect,0.14527970385311204
_:b225,bonusPoints,0.0865724500810893,0.16459330025318172,0.0,False,AtomList,BonusPoints,0.06925796006487143,0.17689130203804734,0.25,4,indirect,0.14527970385311204
_:b132,bonusPoints,0.0865724500810893,0.16459330025318172,0.0,False,AtomList,BonusPoints,0.06925796006487143,0.17689130203804734,0.25,4,indirect,0.14527970385311204
_:b214,bonusPoints,0.0865724500810893,0.16459330025318172,0.0,False,AtomList,BonusPoints,0.06925796006487143,0.17689130203804734,0.25,4,indirect,0.14527970385311204
Overloading,Motrain,0.22561451646853695,0.1648165813651394,0.0,False,GamifiedResource,GameElementResource,0.18049161317482956,0.10189130203804733,0.14285714285714285,7,indirect,0.14519442708871869
_:b146,bonusPoints,0.08586027504788571,0.1650275820597509,0.0,False,AtomList,BonusPoints,0.06868822003830857,0.17689130203804734,0.25,4,indirect,0.14503044259149078
_:b135,bonusPoints,0.08586027504788571,0.1650275820597509,0.0,False,AtomList,BonusPoints,0.06868822003830857,0.17689130203804734,0.25,4,indirect,0.14503044259149078
_:b228,bonusPoints,0.08586027504788571,0.1650275820597509,0.0,False,AtomList,BonusPoints,0.06868822003830857,0.17689130203804734,0.25,4,indirect,0.14503044259149078
